"Total, all occupations","Minimum level of education required, all levels","19.15D","18.75A","18.55A","18.90A","19.80A","19.35A","19.75A","19.60A","20.45A","19.50A","19.90A","20.10A","21.05A","20.65A","20.95A","21.15A","21.80A","21.30A","21.25A","21.75A","22.60A","..","..","22.50A","23.60A","22.85A","22.55A","22.95A","24.20A","24.05A","24.20A","24.90A","25.40A","25.10A","25.60A"
"Total, all occupations","No minimum level of education required","..","13.55A","13.55A","13.50A","13.65A","13.55A","14.25A","14.05A","15.35A","14.25A","14.60A","15.00A","16.15A","16.00A","16.10A","16.35A","16.45A","16.45A","16.40A","16.35A","16.75A","..","..","17.10A","17.75A","17.35A","17.40A","17.65A","18.45A","18.40A","18.80A","18.85A","19.25A","19.20A","19.75A"
"Total, all occupations","High school diploma or equivalent","..","15.25A","15.20A","15.45A","15.65A","15.45A","15.50A","15.45A","16.10A","15.95A","16.40A","16.55A","17.25A","17.10A","17.55A","17.60A","18.00A","17.55A","17.90A","17.85A","18.50A","..","..","18.60A","19.45A","19.25A","19.35A","19.45A","20.20A","20.25A","20.35A","20.80A","21.15A","21.30A","21.35A"
"Total, all occupations","Non-university certificate or diploma","..","22.00A","21.95A","22.40A","22.35A","23.20A","22.95A","23.20A","23.00A","23.20A","23.45A","23.60A","23.95A","23.70A","23.75A","23.95A","24.40A","24.25A","23.85A","24.35A","24.55A","..","..","24.50A","25.00A","25.70A","25.75A","25.95A","26.90A","27.10A","27.50A","27.55A","27.80A","27.80A","28.25A"
"Total, all occupations","University certificate or diploma below bachelor's level","..","28.05A","28.05A","28.40A","28.50A","27.10A","29.10A","29.80A","28.95A","28.30A","28.65A","29.35A","29.75A","29.70A","30.20A","30.55A","30.20A","30.45A","30.75A","30.20A","30.20A","..","..","31.10A","31.10A","31.05A","31.05A","32.85A","33.00A","33.35A","34.15A","33.40A","33.05A","33.00A","33.75A"
"Total, all occupations","Bachelor's degree","..","35.10A","34.60A","33.90A","34.95A","34.55A","34.95A","34.75A","35.35A","34.75A","34.60A","35.20A","35.05A","34.65A","35.10A","34.80A","34.80A","35.35A","35.10A","36.10A","36.00A","..","..","37.50A","37.25A","37.10A","38.05A","38.40A","38.65A","40.35A","39.20A","39.30A","39.15A","39.40A","39.05A"
"Total, all occupations","University certificate, diploma or degree above the bachelor's level","..","41.55A","41.45A","40.15A","40.60A","41.15A","41.75A","40.40A","44.45B","39.50A","42.30A","40.90A","40.70A","44.10A","41.75A","40.95A","41.90A","39.25A","40.50A","39.65A","41.75A","..","..","39.95A","41.90A","41.80A","42.50A","41.85A","41.85A","43.90A","43.60A","46.95B","44.35A","45.30A","43.65A"
"Management occupations","Minimum level of education required, all levels","32.15E","33.05A","31.85A","32.35A","32.35A","33.90A","34.95A","34.30A","34.25A","34.40A","35.55A","35.10A","36.15A","36.75A","36.00A","37.55A","36.80A","38.25A","36.40A","37.70A","38.30A","..","..","39.00A","40.25A","39.60A","38.75A","38.25A","40.10A","39.45A","39.30A","41.05A","40.70A","41.35A","40.60A"
"Management occupations","No minimum level of education required","..","17.15D","19.55B","19.70A","19.05A","18.95B","20.90B","17.80A","21.35A","21.70B","21.50B","24.65B","32.25B","31.35A","29.25A","31.05A","30.55A","32.85A","29.15A","26.95A","25.10A","..","..","25.85A","28.90A","26.15A","25.25A","26.70A","27.90A","28.35A","28.35A","25.80A","28.85A","26.90A","28.45A"
"Management occupations","High school diploma or equivalent","..","18.55A","18.70A","18.95A","19.30A","19.40A","20.00A","19.20A","20.30A","19.70A","19.90A","20.55A","20.40A","21.90A","20.55A","21.65A","21.60A","21.55A","22.10A","20.65A","23.35A","..","..","22.45A","24.85A","24.25A","23.90A","23.75A","23.30A","23.50A","23.90A","24.60A","24.85A","25.40A","24.70A"
