"Total, all occupations","Minimum level of education required, all levels","408,125E","451,925A","407,865A","358,755A","330,215A","391,190A","404,860A","381,010A","387,080A","459,685A","467,395A","469,360A","461,845A","546,820A","550,670A","547,330A","506,140A","581,595A","562,910A","508,590A","512,760A","..","..","560,215A","553,480A","731,905A","912,580A","915,545A","890,385A","1,031,955A","991,680A","855,890A","781,205A","818,195A","737,530A"
"Total, all occupations","No minimum level of education required","..","162,635A","156,215A","134,205A","101,705A","135,060A","140,630A","121,955A","124,530A","162,260A","164,935A","172,285A","149,930A","195,585A","193,470A","188,475A","158,425A","201,895A","197,365A","172,520A","157,755A","..","..","188,860A","160,385A","260,555A","350,830A","350,715A","301,520A","394,465A","375,205A","300,010A","242,950A","279,695A","240,625A"
"Total, all occupations","High school diploma or equivalent","..","129,790A","112,300A","94,560A","91,655A","106,680A","111,920A","118,605A","111,880A","132,470A","133,375A","130,545A","137,380A","155,260A","155,130A","155,585A","143,250A","160,575A","156,190A","135,685A","132,235A","..","..","138,640A","143,825A","183,785A","232,030A","218,880A","215,140A","241,555A","229,110A","196,585A","190,790A","195,975A","174,320A"
"Total, all occupations","Non-university certificate or diploma","..","96,280A","81,655A","77,325A","81,630A","89,460A","86,405A","82,085A","90,275A","97,785A","100,620A","98,130A","104,075A","118,355A","120,375A","120,660A","120,190A","133,210A","125,820A","117,335A","130,605A","..","..","143,325A","147,275A","167,420A","201,385A","211,650A","228,910A","239,120A","241,255A","216,925A","213,040A","212,720A","198,615A"
"Total, all occupations","University certificate or diploma below bachelor's level","..","15,390A","12,840A","11,040A","13,500A","13,520A","14,030A","12,365A","13,230A","14,890A","15,500A","15,145A","14,825A","16,930A","17,295A","17,235A","17,285A","16,715A","15,090A","14,210A","18,025A","..","..","17,475A","20,610A","26,715A","27,080A","28,145A","30,040A","33,315A","29,265A","28,900A","27,215A","26,810A","24,895A"
"Total, all occupations","Bachelor's degree","..","39,750A","37,410A","34,305A","34,530A","38,700A","43,460A","37,340A","39,485A","43,895A","44,995A","45,020A","46,005A","50,755A","54,705A","54,725A","56,225A","56,560A","58,090A","57,825A","61,040A","..","..","57,385A","65,700A","75,210A","82,250A","85,050A","92,910A","99,630A","94,795A","90,910A","85,300A","81,725A","79,155A"
"Total, all occupations","University certificate, diploma or degree above the bachelor's level","..","8,075A","7,440B","7,320B","7,190A","7,770A","8,415A","8,655B","7,685B","8,390A","7,975A","8,235A","9,630A","9,935A","9,695A","10,645A","10,760A","12,645A","10,355A","11,020A","13,100A","..","..","14,525A","15,685A","18,220A","19,010A","21,105A","21,865A","23,870A","22,045A","22,565A","21,910A","21,270A","19,920A"
"Management occupations","Minimum level of education required, all levels","24,620E","24,100B","23,910A","22,055A","24,290A","22,740A","26,905A","23,675A","23,600A","25,285A","24,610A","24,835A","26,275A","25,070A","28,065A","28,570A","28,315A","29,035A","29,460A","27,305A","28,985A","..","..","25,425A","29,555A","33,625A","38,840A","39,750A","41,645A","46,935A","44,580A","41,025A","39,585A","37,965A","35,185A"
"Management occupations","No minimum level of education required","..","F","1,850C","1,520C","1,810C","1,650C","2,205B","1,930C","2,270D","1,975C","2,145C","3,790C","4,390B","2,835B","3,375B","3,995B","3,430B","3,250B","4,055B","2,835B","2,735B","..","..","2,520C","2,695B","2,600B","4,635B","5,180B","4,780B","5,465B","6,100B","5,015B","4,160B","4,595B","4,085B"
"Management occupations","High school diploma or equivalent","..","4,430B","5,385B","4,395B","4,260C","4,270B","4,475B","4,515B","3,760B","3,860B","4,150B","3,515B","4,730C","3,955B","4,800B","4,500B","4,870B","4,800B","4,900B","5,000B","4,675B","..","..","4,110B","4,740B","6,145B","7,860B","6,970B","6,710B","8,695B","7,925B","7,425B","7,300B","6,570B","6,035B"
"Management occupations","Non-university certificate or diploma","..","4,605B","4,850B","4,595B","5,705C","4,150B","5,035B","3,965B","5,550B","6,075B","5,155A","4,285B","4,525B","4,665B","5,825A","5,850B","5,810B","5,695B","5,995A","5,290B","5,420B","..","..","4,940B","5,190A","6,025B","7,235A","7,315A","8,915A","9,315A","9,375B","7,865A","7,865A","7,335A","6,875B"
"Management occupations","University certificate or diploma below bachelor's level","..","2,285B","2,350B","2,075B","2,710B","2,565B","2,520B","2,520B","2,140B","2,390B","2,205B","2,720B","2,370B","2,835B","2,385B","2,915B","2,770B","2,855B","2,705B","2,270B","3,170B","..","..","2,410B","2,780B","4,240B","3,380B","3,855B","3,915B","4,465B","3,960B","3,625B","3,690B","3,270B","2,970B"
